作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
正答,2020-09-08 23:56:45,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-25,2,yukari05831k,4,,,0.7,10,0.7,
回答開始,2020-09-08 23:56:51,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-12,4,yukari05831k,,,,0.7,10,0.7,
正答,2020-09-08 23:56:51,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-3,3,yukari05831k,5,,,0.7,10,0.7,
回答開始,2020-09-08 23:56:55,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-18,5,yukari05831k,,,,0.7,10,0.7,
正答,2020-09-08 23:56:55,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-12,4,yukari05831k,3,,,0.7,10,0.7,
回答開始,2020-09-08 23:57:01,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-14,6,yukari05831k,,,,0.7,10,0.7,
正答,2020-09-08 23:57:01,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-18,5,yukari05831k,5,,,0.7,10,0.7,
回答開始,2020-09-08 23:57:07,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-14,7,yukari05831k,,,,0.7,10,0.7,
正答,2020-09-08 23:57:07,taiyo06312,7,神奈川県,南足柄市,dq50,,,dq50-14,6,yukari05831k,4,,,0.7,10,0.7,
合格,2020-09-08 23:57:14,taiyo06312,7,神奈川県,南足柄市,dq50,,,,,masayuki06802,29,0.74,0.07,1.51,10,1.51,
回答開始,2020-09-09 00:06:24,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-9,1,yukari05831k,,,,1.95,10,1.95,
誤答,2020-09-09 00:06:38,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-23,1,mariko06981k,11,,,1.95,10,1.95,
不合格1度目,2020-09-09 00:06:38,tomomi02261,8,神奈川県,藤沢市,dq50,,,,,mariko06981k,0,0,0,1.95,10,1.95,
回答開始,2020-09-09 00:06:55,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-3,1,yukari05831k,,,,1.95,10,1.95,
回答開始,2020-09-09 00:07:02,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-16,2,yukari05831k,,,,1.95,10,1.95,
正答,2020-09-09 00:07:02,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-3,1,yukari05831k,5,,,1.95,10,1.95,
回答開始,2020-09-09 00:07:09,tomomi02261,8,神奈川県,藤沢市,dq50,,,dq50-22,3,yukari05831k,,,,1.95,10,1.95,
